Type,May 2012,Jun 2012,Jul 2012,Aug 2012,Sep 2012,Oct 2012,Nov 2012,Dec 2012,Jan 2013,Feb 2013,Mar 2013,Apr 2013,May 2013,Jun 2013,Jul 2013,Aug 2013,Sep 2013,Oct 2013,Nov 2013,Dec 2013,Jan 2014,Feb 2014,Mar 2014,Apr 2014,May 2014,Jun 2014,Jul 2014,Aug 2014,Sep 2014,Oct 2014,Nov 2014,Dec 2014,Jan 2015,Feb 2015,Mar 2015,Apr 2015,May 2015,Jun 2015,Jul 2015,Aug 2015,Sep 2015,Oct 2015,Nov 2015,Dec 2015,Revenue,Cost of Goods,Gross Profit,Margin,Tax
Vegetables,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,498.430000,14740.450000,6854.575000,4822.593342,8172.256577,7439.703414,12468.164335,12718.903821,5512.364762,73227.441251,47085.080000,26142.361251,0.357002,0.000000
Nuts,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,276.880000,1244.340000,1622.090000,1188.980000,1569.540000,1301.840000,1619.480000,1723.400000,325.880000,1226.330000,997.180000,2025.000000,1387.500000,876.250000,862.500000,1263.750000,990.000000,1199.500000,1038.540000,766.060000,1321.120000,2988.715000,1982.650000,2158.280000,2918.540000,379.600000,0.000000,0.000000,192.000000,9176.805000,2337.400000,1616.300000,1874.325228,4098.150000,3087.953285,2964.781078,3868.915556,64470.575147,46705.195000,17765.380147,0.275558,0.000000
Non-dairy milk,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,127.600000,2392.500000,1276.000000,2360.600000,2456.300000,2552.000000,988.900000,95.700000,159.500000,2812.340000,1915.200000,436.800000,268.800000,639.250000,177.000000,289.000000,1364.350000,1963.400000,886.000000,1301.600000,780.800000,2880.800000,3559.000000,2243.700000,2444.000000,241.000000,0.000000,0.000000,135.000000,4349.000000,3750.000000,951.250000,1409.750000,1300.000000,330.000000,5295.210057,2576.000000,56708.350057,45948.900000,10759.450057,0.189733,0.000000
Seeds,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,95.800000,239.500000,239.500000,95.800000,47.900000,0.000000,0.000000,0.000000,367.500000,157.500000,157.500000,55.000000,385.000000,0.000000,55.000000,638.000000,290.000000,930.500000,936.000000,896.550000,2719.027500,2174.720000,2382.190000,1191.480000,525.000000,0.000000,0.000000,195.500000,9814.212000,5127.174000,1459.134021,952.250000,2929.504403,3154.000000,15404.127665,3038.734518,56654.104106,40993.010000,15661.094106,0.276434,0.000000
Fruits,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,436.000000,11528.080000,5995.770000,4346.424874,6541.006573,6839.750000,7132.871766,7856.814572,5774.295433,56451.013217,39338.440000,17112.573217,0.303140,0.000000
General,0.000000,0.000000,895.000000,455.000000,660.000000,790.000000,1280.000000,170.000000,220.000000,105.000000,70.000000,70.000000,105.000000,0.000000,0.000000,0.000000,0.000000,0.000000,35.000000,35.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,720.000000,1170.000000,1215.000000,1680.000000,1484.800000,1511.200000,210.000000,0.000000,0.000000,315.000000,8386.750000,4619.624782,2585.424870,3810.030397,4389.286757,6410.402232,8463.683786,4535.140744,56396.343568,1993.440000,54402.903568,0.964653,0.000000
Fresh beef,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1941.560000,5315.770000,4056.360000,4627.790000,2227.350000,3858.990000,4428.810000,1998.360000,599.710000,5779.197820,2514.350000,2449.990000,2316.180000,2413.030000,1787.110000,2336.720000,1783.510000,4183.800000,0.000000,84.000000,86.000000,0.000000,0.000000,1276.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,56064.587820,40121.950000,15942.637820,0.284362,0.000000
Baking products,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,356.000000,4562.000000,3520.800000,4215.500000,11279.200000,8848.200000,7145.778689,11208.470292,4408.024614,55543.973595,42829.370000,12714.603595,0.228911,0.000000
Food supplements,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,331.300000,1317.400000,1250.220000,703.500000,1028.700000,1495.600000,941.200000,1218.400000,171.800000,638.175000,1272.350000,687.350000,396.350000,661.250000,941.200000,566.350000,450.650000,696.500000,1226.000000,789.000000,1915.000000,2199.600000,1775.200000,2557.750000,1719.650000,39.000000,0.000000,0.000000,124.000000,6657.300000,2239.194000,2224.491589,2985.500000,3313.488550,3742.840608,4464.342376,1975.382155,54716.034277,41986.040000,12729.994277,0.232656,0.000000
Chemical free beef,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,805.000000,5705.000000,4949.000000,6111.000000,5805.500000,7005.500000,13609.000000,4800.000000,4174.500000,0.000000,0.000000,0.000000,0.000000,84.000000,0.000000,312.000000,208.000000,0.000000,0.000000,0.000000,53568.500000,38083.540000,15484.960000,0.289068,0.000000
