Product,SKU,Supplier Code,Brand,Supplier,Type,Tag,May 2012,Jun 2012,Jul 2012,Aug 2012,Sep 2012,Oct 2012,Nov 2012,Dec 2012,Jan 2013,Feb 2013,Mar 2013,Apr 2013,May 2013,Jun 2013,Jul 2013,Aug 2013,Sep 2013,Oct 2013,Nov 2013,Dec 2013,Jan 2014,Feb 2014,Mar 2014,Apr 2014,May 2014,Jun 2014,Jul 2014,Aug 2014,Sep 2014,Oct 2014,Nov 2014,Dec 2014,Jan 2015,Feb 2015,Mar 2015,Apr 2015,May 2015,Jun 2015,Jul 2015,Aug 2015,Sep 2015,Oct 2015,Nov 2015,Dec 2015,Gross Profit,Revenue,Cost of Goods,Margin,Tax
Caramel cookies (animal shaped) - gluten free,281099,,,Hv,Snacks,"Weight loss, gluten free, Cookies",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,122.500000,12.250000,12.250000,73.500000,85.750000,24.500000,73.500000,36.750000,441.000000,1656.000000,1215.000000,0.266304,0.000000
Smoked salmon ( frozen ),Smokedsalmon,,NGS,Souna,Fish,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,36.000000,60.000000,12.000000,93.230000,34.130000,60.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,295.360000,1653.000000,1357.640000,0.178681,0.000000
Coconut Milk (organic) - With Agave,791002,,,Service,Non-dairy milk,Organic,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-34.510458,4.000000,-30.510458,1649.489542,1680.000000,-0.018497,0.000000
Prune Juice (natural laxative) 946ML,40015,,,Auf,Beverages,"Juice, Vegan, Beverages",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,54.000000,90.000000,0.000000,90.000000,18.000000,36.000000,72.000000,48.000000,408.000000,1640.000000,1232.000000,0.248780,0.000000
Wild Grouper Fillet (Wa2ar),10010,,NGS,ABO,Sea Food,"Local, Frozen, Fish",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,98.000000,357.909091,455.909091,1632.909091,1177.000000,0.279201,0.000000
Chocolate chip cookie mix ( gluten free ) / 453g,1615C224,,Bob's Red Mill,Hv,Flour,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7.700000,0.000000,0.000000,23.100000,0.000000,15.400000,7.700000,0.000000,0.000000,7.700000,13.500000,13.500000,13.500000,13.500000,0.000000,0.000000,0.000000,44.000000,10.800000,11.050000,55.980000,12.000000,12.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,261.430000,1630.200000,1368.770000,0.160367,0.000000
Premium Norwegian Salmon Steak,PremiumNorwegianSalmonSteak,,NGS,Red Coral,Fish,,0.000000,0.000000,97.130000,114.790000,176.600000,185.430000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,573.950000,1620.450000,1046.500000,0.354192,0.000000
Honey moon mix,Honeymoonmix,,NGS,Auf,Nuts,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,34.000000,34.000000,51.000000,51.000000,33.500000,0.000000,73.160000,34.100000,17.870000,53.610000,89.350000,17.770000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,489.360000,1618.500000,1129.140000,0.302354,0.000000
Veal Shanks (Mowaz) / 1kg,VealShanksMowaz,,Kheir Misr,Meat & More,Fresh Beef & Poultry,,0.000000,0.000000,246.960000,0.000000,34.000000,17.000000,65.700000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,363.660000,1611.300000,1247.640000,0.225694,0.000000
Organic brown rice elbow pasta 340g,281031,,,Hv,Pasta,"Weight loss, Organic, pasta, gluten free",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,18.000000,34.632219,45.000000,58.652542,148.607784,9.000000,313.892546,1609.892546,1296.000000,0.194977,0.000000
