Product,Brand,Type,Date,Revenue,Gross Profit,CMGR,Average Revenue,Average Gross Profit,%Total Revenue,% Variation from Average,%Total Gross Profit
AGAVE SYRUP ( ORGANIC ) / 473ML,Suzanne's Specialties,Sweeteners,2013-02-01,71.9,8.9,5.79563671711,27.9462703296,7.11853072209,0.00314707177894,157.279412072,0.00152933017212
AGAVE SYRUP ( ORGANIC ) / 473ML,Suzanne's Specialties,Sweeteners,2013-03-01,143.8,17.8,5.79563671711,27.9462703296,7.11853072209,0.00629414355789,414.558824144,0.00305866034424
AGAVE SYRUP ( ORGANIC ) / 473ML,Suzanne's Specialties,Sweeteners,2013-04-01,215.7,26.7,5.79563671711,27.9462703296,7.11853072209,0.00944121533683,671.838236217,0.00458799051637
AGAVE SYRUP ( ORGANIC ) / 473ML,Suzanne's Specialties,Sweeteners,2013-05-01,143.8,17.8,5.79563671711,27.9462703296,7.11853072209,0.00629414355789,414.558824144,0.00305866034424
ALL PURPOSE BAKING FLOUR ( GLUTEN FREE ),NGS,Flour,2014-12-01,60.0,12.0,10.582301703,27.9462703296,7.11853072209,0.00262620732596,114.697701312,0.0020620182096
ALL PURPOSE BAKING FLOUR ( GLUTEN FREE ),NGS,Flour,2015-01-01,240.0,48.0,10.582301703,27.9462703296,7.11853072209,0.0105048293038,758.790805248,0.00824807283841
ALL PURPOSE BAKING FLOUR ( GLUTEN FREE ) / 623G,Bob's Red Mill,Flour,2012-12-01,46.5,6.0,12.2009283657,27.9462703296,7.11853072209,0.00203531067762,66.3907185168,0.0010310091048
ALL PURPOSE BAKING FLOUR ( GLUTEN FREE ) / 623G,Bob's Red Mill,Flour,2013-01-01,93.0,12.0,12.2009283657,27.9462703296,7.11853072209,0.00407062135524,232.781437034,0.0020620182096
ALL PURPOSE BAKING FLOUR ( GLUTEN FREE ) / 623G,Bob's Red Mill,Flour,2013-02-01,232.5,30.0,12.2009283657,27.9462703296,7.11853072209,0.0101765533881,731.953592584,0.00515504552401
ALL PURPOSE BAKING FLOUR ( GLUTEN FREE ) / 623G,Bob's Red Mill,Flour,2013-03-01,418.5,54.0,12.2009283657,27.9462703296,7.11853072209,0.0183177960986,1397.51646665,0.00927908194321
ALL PURPOSE BAKING FLOUR ( GLUTEN FREE ) / 623G,Bob's Red Mill,Flour,2013-04-01,93.0,12.0,12.2009283657,27.9462703296,7.11853072209,0.00407062135524,232.781437034,0.0020620182096
ALL PURPOSE BAKING FLOUR ( GLUTEN FREE ) / 623G,Bob's Red Mill,Flour,2013-05-01,325.5,42.0,12.2009283657,27.9462703296,7.11853072209,0.0142471747433,1064.73502962,0.00721706373361
ALL PURPOSE BAKING FLOUR ( GLUTEN FREE ) / 623G,Bob's Red Mill,Flour,2013-06-01,46.5,6.0,12.2009283657,27.9462703296,7.11853072209,0.00203531067762,66.3907185168,0.0010310091048
ALL PURPOSE BAKING FLOUR ( GLUTEN FREE ) / 623G,Bob's Red Mill,Flour,2013-09-01,556.98,97.98,12.2009283657,27.9462703296,7.11853072209,0.0243790826069,1893.03876128,0.0168363786814
ALL PURPOSE BAKING FLOUR ( GLUTEN FREE ) / 623G,Bob's Red Mill,Flour,2013-10-01,141.75,27.0,12.2009283657,27.9462703296,7.11853072209,0.00620441480758,407.22331935,0.00463954097161
ALL PURPOSE BAKING FLOUR ( GLUTEN FREE ) / 623G,Bob's Red Mill,Flour,2013-11-01,236.25,45.0,12.2009283657,27.9462703296,7.11853072209,0.010340691346,745.372198916,0.00773256828601
ALL PURPOSE BAKING FLOUR ( GLUTEN FREE ) / 623G,Bob's Red Mill,Flour,2013-12-01,94.5,18.0,12.2009283657,27.9462703296,7.11853072209,0.00413627653839,238.148879566,0.0030930273144
ALL PURPOSE BAKING FLOUR ( GLUTEN FREE ) / 623G,Bob's Red Mill,Flour,2014-01-01,94.5,18.0,12.2009283657,27.9462703296,7.11853072209,0.00413627653839,238.148879566,0.0030930273144
ALL PURPOSE BAKING FLOUR ( GLUTEN FREE ) / 623G,Bob's Red Mill,Flour,2014-03-01,47.25,9.0,12.2009283657,27.9462703296,7.11853072209,0.00206813826919,69.0744397832,0.0015465136572
ALL PURPOSE BAKING FLOUR ( GLUTEN FREE ) / 623G,Bob's Red Mill,Flour,2014-04-01,330.75,78.75,12.2009283657,27.9462703296,7.11853072209,0.0144769678844,1083.52107848,0.0135319945005
ALL PURPOSE BAKING FLOUR ( GLUTEN FREE ) / 623G,Bob's Red Mill,Flour,2014-05-01,281.0,66.14,12.2009283657,27.9462703296,7.11853072209,0.0122994043099,905.500901145,0.0113651570319
ALL PURPOSE BAKING FLOUR ( GLUTEN FREE ) / 623G,Bob's Red Mill,Flour,2014-06-01,368.0,85.31,12.2009283657,27.9462703296,7.11853072209,0.0161074049326,1216.81256805,0.0146592311218
ALL PURPOSE BAKING FLOUR ( GLUTEN FREE ) / 623G,Bob's Red Mill,Flour,2014-07-01,414.0,99.0,12.2009283657,27.9462703296,7.11853072209,0.0181208305491,1381.41413905,0.0170116502292
ALL PURPOSE BAKING FLOUR ( GLUTEN FREE ) / 623G,Bob's Red Mill,Flour,2014-08-01,230.0,55.0,12.2009283657,27.9462703296,7.11853072209,0.0100671280829,723.007855029,0.00945091679401
ALL PURPOSE BAKING FLOUR ( GLUTEN FREE ) / 623G,Bob's Red Mill,Flour,2014-11-01,322.0,77.0,12.2009283657,27.9462703296,7.11853072209,0.014093979316,1052.21099704,0.0132312835116
ALL PURPOSE BAKING FLOUR ( GLUTEN FREE ) / 623G,Bob's Red Mill,Flour,2014-12-01,276.0,66.0,12.2009283657,27.9462703296,7.11853072209,0.0120805536994,887.609426035,0.0113411001528
ALL PURPOSE BAKING FLOUR (GLUTEN FREE),0,Baking products,2015-07-01,696.0,96.0,21.4851386475,27.9462703296,7.11853072209,0.0304640049812,2390.49333522,0.0164961456768
ALL PURPOSE BAKING FLOUR (GLUTEN FREE),0,Baking products,2015-08-01,1747.2,359.7,21.4851386475,27.9462703296,7.11853072209,0.076475157332,6151.99706221,0.0618089958328
ALL PURPOSE BAKING FLOUR (GLUTEN FREE),0,Baking products,2015-09-01,1046.4,183.9,21.4851386475,27.9462703296,7.11853072209,0.0458010557648,3644.32791088,0.0316004290622
ALL PURPOSE BAKING FLOUR (GLUTEN FREE),0,Baking products,2015-10-01,192.0,42.0,21.4851386475,27.9462703296,7.11853072209,0.00840386344308,587.032644198,0.00721706373361
ALL PURPOSE BAKING FLOUR (GLUTEN FREE),0,Baking products,2015-12-01,330.0,82.5,21.4851386475,27.9462703296,7.11853072209,0.0144441402928,1080.83735722,0.014176375191
ALL PURPOSE BAKING FLOUR (GLUTEN FREE),0,General,2015-05-01,43.75,8.75,36.8175947547,27.9462703296,7.11853072209,0.00191494284185,56.5504072067,0.0015035549445
ALL PURPOSE BAKING FLOUR (GLUTEN FREE),0,General,2015-06-01,516.0,96.0,36.8175947547,27.9462703296,7.11853072209,0.0225853830033,1746.40023128,0.0164961456768
ALL PURPOSE BAKING FLOUR (GLUTEN FREE),0,General,2015-09-01,48.0,9.5,36.8175947547,27.9462703296,7.11853072209,0.00210096586077,71.7581610496,0.0016324310826
ALL PURPOSE BAKING FLOUR (GLUTEN FREE),0,General,2015-10-01,528.0,104.5,36.8175947547,27.9462703296,7.11853072209,0.0231106244685,1789.33977155,0.0179567419086
ALL PURPOSE BAKING FLOUR (GLUTEN FREE),0,General,2015-11-01,240.0,47.5,36.8175947547,27.9462703296,7.11853072209,0.0105048293038,758.790805248,0.00816215541301
ALMOND BISCUITS (GLUTEN FREE - TRACES OF GLUTEN),0,Snacks,2015-04-01,36.0,36.0,3.43660831319,27.9462703296,7.11853072209,0.00157572439558,28.8186207872,0.00618605462881
ALMOND BISCUITS (GLUTEN FREE - TRACES OF GLUTEN),0,Snacks,2015-05-01,18.0,18.0,3.43660831319,27.9462703296,7.11853072209,0.000787862197788,-35.5906896064,0.0030930273144
ALMOND BREAD (GLUTEN FREE),0,Bread,2015-09-01,180.0,45.0,0.0,27.9462703296,7.11853072209,0.00787862197788,544.093103936,0.00773256828601
ALMOND BUTTER,0,Nut butter,2015-07-01,65.0,13.0,68.1974637425,27.9462703296,7.11853072209,0.00284505793646,132.589176421,0.0022338530604
ALMOND BUTTER,0,Nut butter,2015-08-01,1046.0,162.0,68.1974637425,27.9462703296,7.11853072209,0.0457835477159,3642.89659287,0.0278372458296
ALMOND BUTTER,0,Nut butter,2015-09-01,715.0,143.0,68.1974637425,27.9462703296,7.11853072209,0.031295637301,2458.48094063,0.0245723836644
ALMOND BUTTER,0,Nut butter,2015-10-01,1683.722222,331.722222,68.1974637425,27.9462703296,7.11853072209,0.0736967272383,5924.85484519,0.0570014385245
ALMOND BUTTER,0,Nut butter,2015-11-01,1755.0,351.0,68.1974637425,27.9462703296,7.11853072209,0.0768165642844,6179.90776338,0.0603140326309
ALMOND BUTTER,0,Nut butter,2015-12-01,1738.345747,334.345747,68.1974637425,27.9462703296,7.11853072209,0.0760876055971,6120.31393277,0.0574522515514
ALMOND BUTTER (HOME-MADE),Signature,spreads,2014-06-01,60.0,8.0,21.5336366931,27.9462703296,7.11853072209,0.00262620732596,114.697701312,0.0013746788064
ALMOND BUTTER (HOME-MADE),Signature,spreads,2014-07-01,360.0,48.0,21.5336366931,27.9462703296,7.11853072209,0.0157572439558,1188.18620787,0.00824807283841
ALMOND BUTTER (HOME-MADE),Signature,spreads,2014-08-01,540.0,72.0,21.5336366931,27.9462703296,7.11853072209,0.0236358659337,1832.27931181,0.0123721092576
ALMOND BUTTER (HOME-MADE),Signature,spreads,2014-09-01,1800.0,240.0,21.5336366931,27.9462703296,7.11853072209,0.0787862197788,6340.93103936,0.0412403641921
ALMOND BUTTER (HOME-MADE),Signature,spreads,2014-10-01,1080.0,144.0,21.5336366931,27.9462703296,7.11853072209,0.0472717318673,3764.55862362,0.0247442185152
ALMOND BUTTER (HOME-MADE),Signature,spreads,2014-11-01,540.0,72.0,21.5336366931,27.9462703296,7.11853072209,0.0236358659337,1832.27931181,0.0123721092576
ALMOND BUTTER (NATURAL),0,Nut butter,2015-08-01,130.0,26.0,43.5188887884,27.9462703296,7.11853072209,0.00569011587292,365.178352843,0.00446770612081
ALMOND BUTTER (NATURAL),0,Nut butter,2015-09-01,325.0,65.0,43.5188887884,27.9462703296,7.11853072209,0.0142252896823,1062.94588211,0.011169265302
ALMOND BUTTER (NATURAL),0,Nut butter,2015-10-01,715.0,143.0,43.5188887884,27.9462703296,7.11853072209,0.031295637301,2458.48094063,0.0245723836644
ALMOND BUTTER (NATURAL),0,Nut butter,2015-11-01,780.0,156.0,43.5188887884,27.9462703296,7.11853072209,0.0341406952375,2691.07011706,0.0268062367248
ALMOND BUTTER (NATURAL),0,Nut butter,2015-12-01,390.0,78.0,43.5188887884,27.9462703296,7.11853072209,0.0170703476187,1295.53505853,0.0134031183624
ALMOND MEAL FLOUR,0,Baking products,2015-05-01,504.0,129.0,34.1126471445,27.9462703296,7.11853072209,0.0220601415381,1703.46069102,0.0221666957532
ALMOND MEAL FLOUR,0,Baking products,2015-07-01,1161.6,149.1,34.1126471445,27.9462703296,7.11853072209,0.0508433738306,4056.5474974,0.0256205762543
ALMOND MEAL FLOUR,0,Baking products,2015-08-01,3168.0,803.23,34.1126471445,27.9462703296,7.11853072209,0.138663746811,11236.0386293,0.138022907208
ALMOND MEAL FLOUR,0,Baking products,2015-09-01,2296.8,474.3,34.1126471445,27.9462703296,7.11853072209,0.100531216438,8118.62800622,0.0815012697345
ALMOND MEAL FLOUR,0,Baking products,2015-10-01,1716.0,399.75,34.1126471445,27.9462703296,7.11853072209,0.0751095295225,6040.35425752,0.0686909816074
ALMOND MEAL FLOUR,0,Baking products,2015-11-01,3892.412286,713.162286,34.1126471445,27.9462703296,7.11853072209,0.170371361019,13828.199506,0.122546135011
ALMOND MEAL FLOUR,0,Baking products,2015-12-01,-15.575221,-38.075221,34.1126471445,27.9462703296,7.11853072209,-0.000681729324894,-155.732735769,-0.00654264991972
ALMOND MILK ( ORGANIC ),Alpro,Non-dairy milk,2014-04-01,123.5,24.83,2.2669119635,27.9462703296,7.11853072209,0.00540561007927,341.919435201,0.00426665934537
ALMOND MILK ( ORGANIC ),Alpro,Non-dairy milk,2014-05-01,88.0,19.69,2.2669119635,27.9462703296,7.11853072209,0.00385177074474,214.889961924,0.00338342821226
ALMOND MILK ( ORGANIC ) / 946ML,Pacific Natural Foods,Non-dairy milk,2012-12-01,95.7,14.7,12.1571944294,27.9462703296,7.11853072209,0.00418880068491,242.442833593,0.00252597230676
ALMOND MILK ( ORGANIC ) / 946ML,Pacific Natural Foods,Non-dairy milk,2013-01-01,1276.0,196.0,12.1571944294,27.9462703296,7.11853072209,0.0558506757988,4465.9044479,0.0336796307568
ALMOND MILK ( ORGANIC ) / 946ML,Pacific Natural Foods,Non-dairy milk,2013-02-01,638.0,98.0,12.1571944294,27.9462703296,7.11853072209,0.0279253378994,2182.95222395,0.0168398153784
ALMOND MILK ( ORGANIC ) / 946ML,Pacific Natural Foods,Non-dairy milk,2013-03-01,1276.0,196.0,12.1571944294,27.9462703296,7.11853072209,0.0558506757988,4465.9044479,0.0336796307568
ALMOND MILK ( ORGANIC ) / 946ML,Pacific Natural Foods,Non-dairy milk,2013-04-01,1307.9,200.9,12.1571944294,27.9462703296,7.11853072209,0.0572469426938,4580.0520591,0.0345216215258
ALMOND MILK ( ORGANIC ) / 946ML,Pacific Natural Foods,Non-dairy milk,2013-05-01,1467.4,225.4,12.1571944294,27.9462703296,7.11853072209,0.0642282771686,5150.79011509,0.0387315753704
ALMOND MILK ( ORGANIC ) / 946ML,Pacific Natural Foods,Non-dairy milk,2013-06-01,287.1,44.1,12.1571944294,27.9462703296,7.11853072209,0.0125664020547,927.328500778,0.00757791692029
ALMOND MILK ( ORGANIC ) / 946ML,Pacific Natural Foods,Non-dairy milk,2013-09-01,1905.14,445.94,12.1571944294,27.9462703296,7.11853072209,0.0833882104164,6717.15297796,0.0766280333658
ALMOND MILK ( ORGANIC ) / 946ML,Pacific Natural Foods,Non-dairy milk,2013-10-01,1008.0,240.0,12.1571944294,27.9462703296,7.11853072209,0.0441202830762,3506.92138204,0.0412403641921
ALMOND MILK ( ORGANIC ) / 946ML,Pacific Natural Foods,Non-dairy milk,2014-01-01,67.2,16.0,12.1571944294,27.9462703296,7.11853072209,0.00294135220508,140.461425469,0.0027493576128
ALMOND MILK ( ORGANIC ) / 946ML,Pacific Natural Foods,Non-dairy milk,2014-09-01,90.4,18.4,12.1571944294,27.9462703296,7.11853072209,0.00395681903778,223.477869977,0.00316176125472
ALMOND MILK ( ORGANIC ) 946ML,0,Non-dairy milk,2015-05-01,102.0,25.2,0.0,27.9462703296,7.11853072209,0.00446455245413,264.98609223,0.00433023824017
ALMOND MILK ( ORIGINAL ),NGS,Non-dairy milk,2014-08-01,240.0,48.0,8.04696986932,27.9462703296,7.11853072209,0.0105048293038,758.790805248,0.00824807283841
ALMOND MILK ( ORIGINAL ),NGS,Non-dairy milk,2014-09-01,276.4,52.4,8.04696986932,27.9462703296,7.11853072209,0.0120980617483,889.040744044,0.00900414618193
ALMOND MILK ( ORIGINAL ),NGS,Non-dairy milk,2014-10-01,260.0,52.0,8.04696986932,27.9462703296,7.11853072209,0.0113802317458,830.356705685,0.00893541224161
ALMOND MILK ( ORIGINAL ),NGS,Non-dairy milk,2014-11-01,10.0,2.0,8.04696986932,27.9462703296,7.11853072209,0.000437701220994,-64.2170497813,0.0003436697016
ALMOND MILK ( ORIGINAL ),NGS,Non-dairy milk,2014-12-01,322.0,58.0,8.04696986932,27.9462703296,7.11853072209,0.014093979316,1052.21099704,0.00996642134641
ALMOND MILK ( ORIGINAL ),NGS,Non-dairy milk,2015-01-01,20.0,4.0,8.04696986932,27.9462703296,7.11853072209,0.000875402441987,-28.4340995627,0.000687339403201
ALMOND MILK (ORGANIC) - SUGAR-FREE,0,Non-dairy milk,2015-11-01,2521.720515,1.720515,14.9075256073,27.9462703296,7.11853072209,0.110376014842,8923.45996536,0.000295644438325
ALMOND MILK (ORGANIC) - SUGAR-FREE,0,Non-dairy milk,2015-12-01,2530.0,220.0,14.9075256073,27.9462703296,7.11853072209,0.110738408911,8953.08640532,0.037803667176
ALMOND MILK (UNSWEETENED),0,Non-dairy milk,2014-12-01,608.0,152.0,0.0,27.9462703296,7.11853072209,0.0266122342364,2075.6033733,0.0261188973216
ALMOND MILK WITH DARK CHOCOLATE,Pure almond,Non-dairy milk,2014-04-01,57.0,11.44,0.0,27.9462703296,7.11853072209,0.00249489695966,103.962816246,0.00196579069315
ALMOND MILK WITH VANILLA,Pure almond,Non-dairy milk,2014-04-01,28.5,6.04,5.94630943593,27.9462703296,7.11853072209,0.00124744847983,1.9814081232,0.00103788249883
