Product,Brand,Type,Revenue,Gross Profit,CMGR,Period,%Total Revenue,Average Revenue,Average Gross Profit,% Variation from Average,%Total Gross Profit
AMERICAN RED APPLES,Kheir Misr,Fresh fruits,2657.25,457.21,9.57416760875,39.0,0.116308156949,1229.6358945,313.21535177,116.100555611,0.0785646121349
AMERICAN YELLOW APPLES,Kheir Misr,Fresh fruits,952.97,201.31,6.63294552164,39.0,0.0417116132571,1229.6358945,313.21535177,-22.4998225683,0.0345920738148
AMINO FUEL - ANABOLIC LIQUID,0,Food supplements,328.0,65.5,0.0,6.0,0.0143566000486,1229.6358945,313.21535177,-73.3254371097,0.0112551827275
ANIMAL SHAPED BISCUITS ( GLUTEN FREE ),0,Snacks,232.0,47.2,0.0,11.0,0.0101546683271,1229.6358945,313.21535177,-81.1326262483,0.00811060495783
ANIMAL SHAPED BISCUITS ( GLUTEN FREE ),NGS,Cookies,310.3,56.2,9.76505491256,18.0,0.0135818688875,1229.6358945,313.21535177,-74.7648876071,0.00965711861504
ANNAS ALMOND THINS,Biscuits,Snacks,50.25,10.05,4.49243511441,25.0,0.0021994486355,1229.6358945,313.21535177,-95.9134244352,0.00172694025055
ANNAS CAPPUCCINO THINS,Biscuits,Snacks,67.0,13.4,2.70180507088,26.0,0.00293259818066,1229.6358945,313.21535177,-94.5512325803,0.00230258700074
ANTI-CELLULITE BODY SCRUB (WITH COFFEE&VANILLA),0,Cosmetics,70.0,22.0,0.0,15.0,0.00306390854696,1229.6358945,313.21535177,-94.3072579197,0.00378036671763
ANTI-FRIZZ HAIR SERUM,0,Cosmetics,120.0,24.0,3.92592260318,18.0,0.00525241465193,1229.6358945,313.21535177,-90.2410135767,0.00412403641923
ANTISEPTIC CREAM WITH TEA TREE OIL / 118ML,"Tea Tree Therapy, Inc.",Cosmetics,203.4,30.6,2.85700594374,39.0,0.00890284283503,1229.6358945,313.21535177,-83.4585180125,0.00525814643452
APPLE AND MANGO JUICE ( ORGANIC ),Voelkel,Juices,41.25,8.25,0.0,24.0,0.0018055175366,1229.6358945,313.21535177,-96.645348417,0.00141763751911
APPLE CIDER VINEGAR ( ORGANIC ),0,Vinegar,8587.044348,2497.044348,58.178689016,12.0,0.375855979585,1229.6358945,313.21535177,598.340410069,0.429079242983
APPLE CIDER VINEGAR ( ORGANIC ) / 473G,"Eden Foods, Inc.",Vinegar,6313.1,1827.54,14.5159450906,40.0,0.276325157826,1229.6358945,313.21535177,413.412143241,0.314035063234
APPLE CINNAMON BROWN RICE CAKES / 269G,Lundberg Family Farms,Snacks,1114.25,180.3,4.97883267453,39.0,0.0487708585493,1229.6358945,313.21535177,-9.38374481541,0.0309818235995
APPLE CINNAMON NO FAT GRANOLA / 340G,Bob's Red Mill,Cereal,198.0,36.0,1.07118570701,27.0,0.00866648417569,1229.6358945,313.21535177,-83.8976724016,0.00618605462885
APPLES (SUKARY),Kheir Misr,Fresh fruits,3194.56,548.74,8.64437022956,39.0,0.139826281254,1229.6358945,313.21535177,159.79723057,0.0942926560288
APPRICOT,NGS,Fresh fruits,219.25,47.26,11.1089310906,21.0,0.0095965992703,1229.6358945,313.21535177,-82.1695185558,0.00812091504887
