Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit
281194,Noodle Angel Hair (glutenfree),<p>198g</p>,Hv,Pasta,"gluten free, pasta, Weight loss",true,Title,Default Title,,,,,281194,0,shopify,19,deny,manual,25.00,,true,false,"",,,false,,,,,,,,,,,,,,,,,kg
281175,Museli,<p>510g</p>,Hv,Cereal,"Healthy Snack, High performance, Whole grain",true,Title,Default Title,,,,,281175,0,shopify,4,deny,manual,55.00,,true,false,"",,,false,,,,,,,,,,,,,,,,,kg
281185,Mugi Miso - Fermented Soybeans & Barley (organic),<p>345g</p>,Hv,Grains,"Non gmo, Organic",true,Title,Default Title,,,,,281185,0,shopify,23,deny,manual,95.00,,true,false,"",,,false,,,,,,,,,,,,,,,,,kg
281193,Manuka T&C Wild Cherry,<p>96g</p>,Hv,Honey,"Honey & Sweeteners, Organic",true,Title,Default Title,,,,,281193,0,shopify,5,deny,manual,160.00,,true,false,"",,,false,,,,,,,,,,,,,,,,,kg
281171,Low Carb Bread Mix Flour,<p>453g</p>,Hv,Baking products,"Weight loss, Whole grain",true,Title,Default Title,,,,,281171,0,shopify,2,deny,manual,75.00,,true,false,"",https://cdn.shopify.com/s/files/1/0106/4982/products/Low-carb_bread_mix.jpg?v=1450799009,,false,,,,,,,,,,,,,,,,,kg
281181,Kamut & Quinoa Twisted Pair,<p>340g</p>,Hv,Pasta,"Organic, Vegan, Vegetarian, Whole grain",true,Title,Default Title,,,,,281181,0,shopify,6,deny,manual,45.00,,true,false,"",,,false,,,,,,,,,,,,,,,,,kg
281168,Green Split Peas,<p>822g</p>,Hv,Grains,"Dried; Grains; Soup, Vegetarian; Vegan",true,Title,Default Title,,,,,281168,0,shopify,4,deny,manual,45.00,,true,false,"",,,false,,,,,,,,,,,,,,,,,kg
281180,Eden Soy Original (organic),<p>946ml</p>,Hv,Non-dairy milk,"lactose free, Organic, Vegan, Vegetarian",true,Title,Default Title,,,,,281180,0,shopify,12,deny,manual,35.00,,true,false,"",https://cdn.shopify.com/s/files/1/0106/4982/products/Eden_Soy_Milk.jpg?v=1450797674,,false,,,,,,,,,,,,,,,,,kg
281166,Granola Honey Oat (gluten free),<p>340g</p>,Hv,Cereal,"All natural: Gluten free, Healthy snacks, Whole grain",true,Title,Default Title,,,,,281166,0,shopify,4,deny,manual,65.00,,true,false,"",https://cdn.shopify.com/s/files/1/0106/4982/products/Honey_Oat_Granola.jpg?v=1450798799,,false,,,,,,,,,,,,,,,,,kg
281190,Country wild Rice,<p>453g</p>,Hv,Rice,"gluten free, Whole grain",true,Title,Default Title,,,,,281190,0,shopify,6,deny,manual,48.00,,true,false,"",,,false,,,,,,,,,,,,,,,,,kg
