Product,SKU,Supplier Code,Brand,Supplier,Type,Tag,May 2012,Jun 2012,Jul 2012,Aug 2012,Sep 2012,Oct 2012,Nov 2012,Dec 2012,Jan 2013,Feb 2013,Mar 2013,Apr 2013,May 2013,Jun 2013,Jul 2013,Aug 2013,Sep 2013,Oct 2013,Nov 2013,Dec 2013,Jan 2014,Feb 2014,Mar 2014,Apr 2014,May 2014,Jun 2014,Jul 2014,Aug 2014,Sep 2014,Oct 2014,Nov 2014,Dec 2014,Jan 2015,Feb 2015,Mar 2015,Apr 2015,May 2015,Jun 2015,Jul 2015,Aug 2015,Sep 2015,Oct 2015,Nov 2015,Dec 2015,Jan 2016,Revenue,Cost of Goods,Gross Profit,Margin,Tax
Pak choi (chemical free),341029,,,MAKAR,Vegetables,"Chemical free, Greens",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,196.000000,14.000000,30.000000,60.000000,75.000000,462.170295,180.000000,42.296610,99.000000,1158.466905,790.000000,368.466905,0.318064,0.000000
Yellow carrots,Yellowcarrots,,NGS,Rafic,Fresh vegetables,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,11.280000,41.480000,80.640000,146.160000,128.520000,90.720000,20.160000,40.320000,60.480000,35.060000,71.500000,41.250000,46.750000,68.750000,70.320000,80.660000,30.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1064.050000,944.230000,119.820000,0.112607,0.000000
Pink grapfruit,20020,,NGS,Agrovate,Fruits,Fresh,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,357.000000,105.000000,0.000000,55.000000,27.000000,159.755294,167.676442,59.400000,117.000000,1047.831736,634.630000,413.201736,0.394340,0.000000
Beetroot (chemical free),501006,,,Tabiey,Vegetables,"Fresh, Chemical free",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,71.500000,0.000000,0.000000,0.000000,72.000000,191.200000,413.455677,188.800000,96.000000,1032.955677,643.450000,389.505677,0.377079,0.000000
Cherries (imported),20006,,NGS,Agrovate,Fruits,Fresh,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,75.000000,144.000000,228.000000,356.200000,168.000000,28.000000,0.000000,0.000000,0.000000,999.200000,705.140000,294.060000,0.294295,0.000000
Roquette (chemical free),341035,,,MAKAR,Vegetables,"Chemical free, Greens",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,135.000000,105.000000,100.000000,110.000000,179.047096,229.517094,9.045073,72.000000,26.000000,965.609262,596.320000,369.289262,0.382442,0.000000
Aubergene (Roumy) - organic,461001,,,Sara nour,Vegetables,"Fresh, Organic",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.000000,195.000000,32.000000,60.000000,132.000000,72.000000,132.000000,114.098361,67.137509,132.000000,941.235870,509.790000,431.445870,0.458382,0.000000
Watercress (chemical free),341046,,,MAKAR,Vegetables,"Fresh, Greens",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,210.000000,132.000000,16.000000,136.000000,104.000000,126.465844,61.000000,14.400000,40.000000,839.865844,550.000000,289.865844,0.345134,0.000000
Italian basil (chemical free),341020,,,MAKAR,Herbs,"Fresh, Chemical free",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,119.000000,118.000000,80.000000,143.248826,48.000000,160.000000,64.000000,32.000000,32.000000,796.248826,508.430000,287.818826,0.361468,0.000000
Celery (chemical free),501009,,,Tabiey,Herbs,"Fresh, Chemical free",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,150.100000,22.000000,0.000000,0.000000,128.000000,104.000000,193.907931,39.200000,40.000000,677.207931,421.840000,255.367931,0.377089,0.000000
Chives (chemical free),341010,,,MAKAR,Vegetables,"Fresh, Chemical free",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,88.000000,25.000000,25.000000,168.905078,50.000000,69.009363,69.011806,108.000000,56.000000,658.926248,454.660000,204.266248,0.309999,0.000000
Cherry tomato (chemical free),341051,,,MAKAR,Vegetables,"Fresh, Chemical free",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,16.000000,200.000000,160.000000,112.000000,64.000000,96.000000,-16.000000,0.000000,0.000000,8.000000,640.000000,359.560000,280.440000,0.438188,0.000000

Revenue,,,,,,,0.000000,0.000000,710.000000,420.000000,610.000000,680.000000,80.000000,1606.830000,6898.330000,9077.280000,9670.840000,7575.670000,10337.020000,7708.970000,4659.270000,3992.940000,12340.240000,7542.180000,11253.150000,7251.526977,6987.820000,5913.970000,9126.210000,10487.050000,14204.850000,13049.140000,13331.060000,17337.220000,26262.215000,22473.650000,24199.830000,21740.940000,5033.600000,0.000000,0.000000,1711.300000,91582.430000,50121.692607,28467.631896,50252.847518,58340.122042,73990.601542,76767.381894,74495.697994,43522.982545
Cost of Goods,,,,,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1070.050000,4726.360000,6336.550000,6759.750000,5178.650000,7271.040000,5098.020000,3133.660000,2847.970000,8915.930000,5342.220000,8315.900000,5135.920000,4952.000000,4154.840000,6671.770000,7443.490000,10067.470000,10299.870000,9473.870000,11582.240000,18812.220000,15313.120000,16160.960000,13897.580000,3194.470000,0.000000,0.000000,843.500000,60745.330000,34760.050000,19130.150000,33205.770000,38871.760000,48179.900000,49772.600000,50040.000000,28639.440000
Gross Profit,,,,,,,0.000000,0.000000,710.000000,420.000000,610.000000,680.000000,80.000000,536.780000,2171.970000,2740.730000,2911.090000,2397.020000,3065.980000,2610.950000,1525.610000,1144.970000,3424.310000,2199.960000,2937.250000,2115.606977,2035.820000,1759.130000,2454.440000,3043.560000,4137.380000,2749.270000,3857.190000,5754.980000,7449.995000,7160.530000,8038.870000,7843.360000,1839.130000,0.000000,0.000000,867.800000,30837.100000,15361.642607,9337.481896,17047.077518,19468.362042,25810.701542,26994.781894,24455.697994,14883.542545
Margin,,,,,,,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.334061,0.314854,0.301933,0.301017,0.316410,0.296602,0.338690,0.327435,0.286749,0.277491,0.291688,0.261016,0.291746,0.291338,0.297453,0.268944,0.290221,0.291265,0.210686,0.289339,0.331944,0.283677,0.318619,0.332187,0.360765,0.365371,0.000000,0.000000,0.507100,0.336714,0.306487,0.328003,0.339226,0.333705,0.348838,0.351644,0.328283,0.341970
Tax,,,,,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
