Date,Revenue,Gross Profit,Type
2012-07-01,0.0,0.0,Sauces
2012-07-01,0.0,0.0,Sea Food
2012-07-01,167.61,54.91,Seeds
2012-07-01,0.0,0.0,Snacks
2012-07-01,0.0,0.0,Soda
2012-07-01,106.0,16.0,Soy Products
2012-07-01,0.0,0.0,Spices
2012-07-01,850.92,198.1,Super foods
2012-07-01,0.0,0.0,Sweeteners
2012-07-01,0.0,0.0,Tea
2012-07-01,0.0,0.0,Teas & Herbs
2012-07-01,0.0,0.0,Veal
2012-07-01,0.0,0.0,Vegetable
2012-07-01,0.0,0.0,Vegetables
2012-07-01,0.0,0.0,Vinegar
2012-07-01,720.0,160.0,Whole sale
2012-07-01,0.0,0.0,cheese
2012-07-01,25.0,15.0,cosmetics
2012-07-01,0.0,0.0,milk
2012-07-01,0.0,0.0,organic dried fruits
2012-07-01,0.0,0.0,pickles
2012-07-01,0.0,0.0,spreads
2012-07-01,51.0,13.2,whole grain
2012-08-01,0.0,0.0,Accessories
2012-08-01,0.0,0.0,Aquaponic vegetables
2012-08-01,0.0,0.0,Australian beef
2012-08-01,0.0,0.0,Baking mix
2012-08-01,0.0,0.0,Baking products
2012-08-01,0.0,0.0,Baking supplments
2012-08-01,0.0,0.0,Beef
2012-08-01,0.0,0.0,Beverages
2012-08-01,0.0,0.0,Books
2012-08-01,0.0,0.0,Bread
2012-08-01,0.0,0.0,Bread&Bakry
2012-08-01,0.0,0.0,Bundles
2012-08-01,0.0,0.0,Cereal
2012-08-01,0.0,0.0,Cereals & Snacks
2012-08-01,0.0,0.0,Chemical free beef
2012-08-01,0.0,0.0,Chemical free fruits
2012-08-01,0.0,0.0,Chemical free poultry
2012-08-01,0.0,0.0,Chemical free produce
2012-08-01,0.0,0.0,Chemical free vegetables
2012-08-01,0.0,0.0,Chocolate
2012-08-01,69.33,9.93,Condiments
2012-08-01,0.0,0.0,Cookies
2012-08-01,171.93,70.69,Cosmetics
2012-08-01,0.0,0.0,Crackers
2012-08-01,0.0,0.0,Delivery
2012-08-01,824.79,249.02,Dried Fruits & Nuts
2012-08-01,0.0,0.0,Dried fruits
2012-08-01,0.0,0.0,Eggs
2012-08-01,421.89,134.59,Fish
2012-08-01,0.0,0.0,Flour
2012-08-01,0.0,0.0,Food Supplements
2012-08-01,0.0,0.0,Food supplements
2012-08-01,3856.36,885.65003,Fresh Beef & Poultry
2012-08-01,1715.52,372.29,Fresh Produce
2012-08-01,0.0,0.0,Fresh beef
2012-08-01,0.0,0.0,Fresh fruits
2012-08-01,0.0,0.0,Fresh fruits and vegetables
2012-08-01,0.0,0.0,Fresh poultry
2012-08-01,0.0,0.0,Fresh veal
2012-08-01,0.0,0.0,Fresh vegetables
2012-08-01,0.0,0.0,Frozen
2012-08-01,0.0,0.0,Frozen fruits
2012-08-01,0.0,0.0,Fruits
